TDA,NTCC,EP,L,C,CostoTotale,Energy,EnergyTC,CF,2,3,4,5,6,7,8,9,10,11,
1.000000,0.583333,0.361111,1.000000,0.050500,202.000000,1.000000,1.000000,0.398989,3,0,1,3,3,3,2,3,0,3,
1.000000,0.750000,0.226852,1.000000,0.225500,902.000000,1.000000,1.000000,0.440470,2,4,2,2,4,1,4,0,2,0,
1.000000,1.000000,0.148148,1.000000,0.250500,1002.000000,1.000000,0.000548,0.279839,4,1,3,3,0,4,2,2,2,1,
1.000000,0.583333,0.291667,1.000000,0.225250,901.000000,1.000000,1.000000,0.420050,2,2,1,1,2,1,4,4,2,4,
1.000000,0.750000,0.208333,1.000000,0.225500,902.000000,1.000000,1.000000,0.436767,0,4,0,2,1,1,0,0,1,2,
1.000000,0.666667,0.268518,1.000000,0.250500,1002.000000,1.000000,1.000000,0.437137,2,2,0,2,2,1,2,4,3,1,
1.000000,0.500000,0.222222,1.000000,0.250250,1001.000000,1.000000,1.000000,0.394494,0,0,0,4,3,2,0,2,3,2,
1.000000,0.833333,0.185185,1.000000,0.250500,1002.000000,1.000000,1.000000,0.453804,3,3,4,0,3,2,1,3,0,4,
1.000000,0.916667,0.129630,1.000000,0.250500,1002.000000,1.000000,1.000000,0.459359,1,2,3,3,0,0,4,4,0,2,
1.000000,0.750000,0.180556,1.000000,0.250500,1002.000000,1.000000,1.000000,0.436211,2,2,0,2,3,3,1,1,3,4,
1.000000,0.583333,0.138889,1.000000,0.250500,1002.000000,1.000000,1.000000,0.394544,0,3,0,4,1,3,2,2,1,2,
1.000000,0.833333,0.162037,1.000000,0.250500,1002.000000,1.000000,1.000000,0.449174,4,4,1,2,3,3,0,4,2,2,
1.000000,0.666667,0.217593,1.000000,0.250500,1002.000000,1.000000,1.000000,0.426952,2,1,4,4,3,0,4,4,1,4,
1.000000,0.750000,0.175926,1.000000,0.250500,1002.000000,1.000000,1.000000,0.435285,1,3,0,1,0,1,4,2,0,2,
1.000000,0.833333,0.212963,1.000000,0.250250,1001.000000,1.000000,1.000000,0.459309,1,4,2,4,4,2,3,4,1,2,
1.000000,0.750000,0.212963,1.000000,0.225500,902.000000,1.000000,0.000667,0.237826,1,0,4,2,1,4,4,1,1,2,
1.000000,0.833333,0.120370,1.000000,0.250500,1002.000000,1.000000,1.000000,0.440841,2,2,1,4,3,1,0,4,0,3,
1.000000,0.833333,0.120370,1.000000,0.250500,1002.000000,1.000000,1.000000,0.440841,1,3,4,0,2,3,4,2,4,1,
1.000000,0.833333,0.212963,1.000000,0.250500,1002.000000,1.000000,1.000000,0.459359,0,2,3,1,0,0,0,4,3,3,
1.000000,0.916667,0.143518,1.000000,0.250500,1002.000000,1.000000,1.000000,0.462137,4,2,0,0,2,0,3,4,1,3,
1.000000,0.500000,0.379630,1.000000,0.050250,201.000000,1.000000,1.000000,0.385976,2,0,3,2,2,0,2,2,0,2,
1.000000,0.666667,0.273148,1.000000,0.225500,902.000000,1.000000,1.000000,0.433063,0,0,4,3,3,1,0,0,3,0,
1.000000,0.750000,0.143519,1.000000,0.250500,1002.000000,1.000000,1.000000,0.428804,4,2,3,1,4,0,2,2,4,0,
1.000000,0.833333,0.208333,1.000000,0.050500,202.000000,1.000000,1.000000,0.418433,2,2,0,0,1,3,2,3,0,2,
1.000000,0.666667,0.273148,1.000000,0.250250,1001.000000,1.000000,1.000000,0.438013,2,2,2,4,0,2,0,3,3,0,
1.000000,0.833333,0.185185,1.000000,0.250500,1002.000000,1.000000,1.000000,0.453804,3,2,4,1,3,3,1,2,0,3,
1.000000,1.000000,0.212963,1.000000,0.250250,1001.000000,1.000000,1.000000,0.492643,3,2,2,0,4,3,3,2,3,0,
1.000000,0.750000,0.166667,1.000000,0.250500,1002.000000,1.000000,1.000000,0.433433,4,3,2,4,2,0,1,4,3,4,
1.000000,0.833333,0.217593,1.000000,0.225500,902.000000,1.000000,0.000660,0.255417,0,1,3,4,0,4,3,3,3,0,
1.000000,0.833333,0.185185,1.000000,0.225500,902.000000,1.000000,0.000765,0.248957,1,3,0,0,4,4,0,4,1,1,
1.000000,0.916667,0.148148,1.000000,0.250500,1002.000000,1.000000,1.000000,0.463063,0,1,4,4,2,1,1,3,0,4,
1.000000,0.833333,0.217593,1.000000,0.250250,1001.000000,1.000000,1.000000,0.460235,0,2,3,0,4,0,4,4,3,3,
1.000000,0.750000,0.212963,1.000000,0.225500,902.000000,1.000000,1.000000,0.437693,4,2,1,1,2,2,1,0,2,4,
1.000000,0.750000,0.143519,1.000000,0.250500,1002.000000,1.000000,1.000000,0.428804,1,4,0,0,3,2,1,0,3,3,
1.000000,0.833333,0.217593,1.000000,0.050500,202.000000,1.000000,1.000000,0.420285,1,3,3,1,3,2,1,0,1,2,
1.000000,0.916667,0.148148,1.000000,0.250500,1002.000000,1.000000,1.000000,0.463063,3,2,4,1,4,3,4,0,3,1,
1.000000,0.833333,0.194445,1.000000,0.225500,902.000000,1.000000,1.000000,0.450656,4,4,0,2,1,0,1,4,2,4,
1.000000,0.833333,0.171296,1.000000,0.250500,1002.000000,1.000000,1.000000,0.451026,3,1,4,1,2,0,0,1,0,1,
1.000000,0.916667,0.212963,1.000000,0.250250,1001.000000,1.000000,0.000515,0.276079,0,0,3,4,3,4,4,2,4,0,
1.000000,0.833333,0.180556,1.000000,0.050500,202.000000,1.000000,1.000000,0.412878,0,1,1,2,0,3,3,1,2,2,
1.000000,0.833333,0.157407,1.000000,0.250500,1002.000000,1.000000,1.000000,0.448248,3,2,3,4,0,3,4,0,1,1,
1.000000,0.833333,0.157407,1.000000,0.250500,1002.000000,1.000000,0.000633,0.248375,3,1,3,4,2,4,3,1,1,0,
1.000000,0.750000,0.365741,1.000000,0.225500,902.000000,1.000000,1.000000,0.468248,1,4,1,3,1,1,1,1,4,0,
1.000000,0.916667,0.199074,1.000000,0.225500,902.000000,1.000000,1.000000,0.468248,1,4,3,4,4,3,4,0,1,0,
1.000000,0.833333,0.185185,1.000000,0.250500,1002.000000,1.000000,1.000000,0.453804,4,4,1,4,3,3,3,2,2,0,
1.000000,0.916667,0.175926,1.000000,0.050500,202.000000,1.000000,1.000000,0.428619,2,0,1,0,3,2,3,1,1,2,
1.000000,0.583333,0.333333,1.000000,0.250000,1000.000000,1.000000,1.000000,0.433333,4,2,2,2,3,3,2,3,3,3,
1.000000,0.833333,0.236111,1.000000,0.250500,1002.000000,1.000000,1.000000,0.463989,0,2,0,2,4,3,2,2,2,1,
1.000000,0.916667,0.120370,1.000000,0.250500,1002.000000,1.000000,1.000000,0.457507,4,1,2,0,3,2,3,1,4,1,
1.000000,1.000000,0.212963,1.000000,0.050500,202.000000,1.000000,1.000000,0.452693,1,3,3,0,2,1,0,1,1,3,
1.000000,0.833333,0.194444,1.000000,0.250500,1002.000000,1.000000,1.000000,0.455656,0,2,3,2,1,2,2,0,4,0,
1.000000,0.833333,0.203704,1.000000,0.250250,1001.000000,1.000000,0.000498,0.257557,2,4,3,4,1,4,1,1,2,2,
1.000000,0.916667,0.152778,1.000000,0.250500,1002.000000,1.000000,1.000000,0.463989,2,3,2,0,0,1,4,2,3,0,
1.000000,0.833333,0.143518,1.000000,0.250500,1002.000000,1.000000,1.000000,0.445470,1,3,2,1,2,3,0,4,4,1,
1.000000,0.916667,0.189815,1.000000,0.250500,1002.000000,1.000000,0.000474,0.271491,4,3,2,0,4,4,4,2,0,1,
1.000000,0.750000,0.194444,1.000000,0.225500,902.000000,1.000000,0.000654,0.234120,0,0,2,4,0,4,1,1,2,4,
1.000000,1.000000,0.120370,1.000000,0.250500,1002.000000,1.000000,1.000000,0.474174,2,0,4,1,3,1,2,0,2,3,
1.000000,0.833333,0.180556,1.000000,0.225500,902.000000,1.000000,1.000000,0.447878,1,2,1,1,4,0,2,0,2,4,
1.000000,1.000000,0.152778,1.000000,0.250500,1002.000000,1.000000,1.000000,0.480656,3,4,4,0,4,2,2,2,3,1,
1.000000,0.916667,0.166667,1.000000,0.250250,1001.000000,1.000000,1.000000,0.466717,3,2,3,4,4,1,2,1,1,4,
1.000000,0.750000,0.337963,1.000000,0.250000,1000.000000,1.000000,1.000000,0.467593,4,4,3,2,2,2,2,4,2,4,
1.000000,0.833333,0.171296,1.000000,0.250500,1002.000000,1.000000,1.000000,0.451026,1,1,1,0,3,0,2,2,4,3,
1.000000,1.000000,0.138889,1.000000,0.250500,1002.000000,1.000000,1.000000,0.477878,3,2,0,1,1,1,4,3,4,0,
1.000000,0.750000,0.171296,1.000000,0.250500,1002.000000,1.000000,1.000000,0.434359,2,0,2,1,2,1,0,4,3,0,
1.000000,0.833333,0.296296,1.000000,0.250250,1001.000000,1.000000,1.000000,0.475976,1,4,1,2,4,1,4,4,4,3,
1.000000,0.916667,0.129630,1.000000,0.250500,1002.000000,1.000000,1.000000,0.459359,2,4,2,4,1,3,1,0,3,2,
1.000000,0.666667,0.189815,1.000000,0.250500,1002.000000,1.000000,1.000000,0.421396,3,0,3,2,3,0,3,4,2,1,
1.000000,0.750000,0.212963,1.000000,0.225500,902.000000,1.000000,1.000000,0.437693,4,0,0,2,4,2,0,0,1,1,
1.000000,1.000000,0.120370,1.000000,0.250500,1002.000000,1.000000,1.000000,0.474174,3,0,1,0,1,2,0,2,4,3,
1.000000,0.666667,0.231481,1.000000,0.225500,902.000000,1.000000,0.000654,0.224860,0,4,0,0,1,4,2,2,0,4,
1.000000,0.833333,0.370370,1.000000,0.025500,102.000000,1.000000,1.000000,0.445841,0,1,1,3,0,0,0,0,0,3,
1.000000,0.916667,0.185185,1.000000,0.250250,1001.000000,1.000000,0.000356,0.270492,2,0,3,3,2,4,2,4,4,3,
1.000000,0.833333,0.162037,1.000000,0.250500,1002.000000,1.000000,1.000000,0.449174,2,1,3,3,1,1,4,0,3,4,
1.000000,1.000000,0.115741,1.000000,0.250500,1002.000000,1.000000,1.000000,0.473248,0,1,2,3,4,2,1,4,2,3,
1.000000,0.916667,0.217593,1.000000,0.250250,1001.000000,1.000000,1.000000,0.476902,2,4,4,2,4,3,3,1,3,4,
1.000000,0.666667,0.337963,1.000000,0.225500,902.000000,1.000000,1.000000,0.446026,0,0,2,0,0,0,1,4,1,2,
1.000000,0.750000,0.138889,1.000000,0.250500,1002.000000,1.000000,0.000440,0.227966,0,3,3,2,1,4,4,2,3,4,
